idx,A_fr,Aq,NTU,eps,dp_hot,dp_cold,t_hot_out,t_cold_out,re_hot,re_cold,g2_hot,g2_cold,Aq/Ao_c,Aq/Ao_h,dW_Ex,dW_Eu,R_c/R_t,valid
51,0.02848035868435802,16.0,5.7427264373208,0.9946578772076287,-289.9932356712519,3.442574116419017e-05,722.3401859337573,775.2541488847211,16918737.99372946,409626.00564460235,21.743875439094683,0.0005037009814915803,6435.2859585686765,666.9296357062083,-0.026611671984108812,-13.901562900601421,0.43193562563265037,False
52,0.026560877829466867,16.0,6.136701621099343,0.9962402726021476,-328.3419611926064,4.1603246009103145e-05,722.2516370613697,776.0675001175038,18141408.1884568,439228.53913572273,25.000172893156126,0.00057913372705865,6900.346197636474,715.1267877550528,-0.02720929662211903,-14.019695812219027,0.4330160895959379,False
53,0.0247707635599171,16.0,6.558208413439891,0.9974179466990417,-371.3150799247503,5.0277147262800526e-05,722.1857358879454,776.6728246033073,19452437.361591913,470970.3654867142,28.744123670059142,0.0006658630539564463,7399.015048249163,766.8070140912769,-0.027801320161290565,-14.132935533672544,0.4340742244094269,False
54,0.02310129700083159,16.0,7.009195691066928,0.9982726440666455,-419.3664537798562,6.0761675285236905e-05,722.1379080894089,777.1121390502558,20858210.971043974,505006.0854496255,33.04875726622812,0.0007655807042633242,7933.721311398706,822.2220268176841,-0.02838724318611357,-14.241415848811013,0.43511028936382784,False
55,0.021544346900318832,16.0,7.4917514496762445,0.9988764449507905,-472.96703255692364,7.343756184052808e-05,722.104120145117,777.4224927047062,22365575.93402657,541501.472343378,37.99803985604752,0.0008802317702682821,8507.06931077759,881.6417285714955,-0.028966502755082228,-14.345257793678604,0.4361245509904898,False
56,0.02009233002565047,16.0,8.008112785793973,0.999290857170264,-532.5965698398525,8.87661221404823e-05,722.0809301542556,777.6355005855157,23981873.97543961,580634.2794641335,43.68851213589264,0.0010120526354372899,9121.85157731676,945.355527103737,-0.02953846139250792,-14.444569888934794,0.43711728244490183,False
57,0.01873817422860384,16.0,8.560676596985294,0.9995666192713256,-598.7317874043736,0.0001073063109231498,722.0654988510676,777.7772423054613,25714977.386246294,622595.1058449722,50.23117244676139,0.001163614597304738,9781.062450399926,1013.6737448596286,-0.03010239385936445,-14.539447953862902,0.438088762907695,False
58,0.01747528400007684,16.0,9.1520110521998,0.9997441379143474,-671.8299635593858,0.00012973538785754357,722.0555651292419,777.8684868879745,27573327.36600859,667588.3245816116,57.753641907693904,0.001337874023198042,10487.912661999813,1086.929130425435,-0.030657471018240647,-14.629974417770384,0.4390392770036861,False
59,0.016297508346206444,16.0,9.784867887777638,0.9998544285750307,-752.3066622555157,0.00015687396592389824,722.0493934014473,777.9251762875658,29565975.136331256,715833.0782456504,66.4026537930669,0.0015382300171328611,11245.844974769432,1165.4784792033774,-0.03120273987818798,-14.716217043974547,0.4399691142393955,False
60,0.01519911082952933,16.0,10.462195588647852,0.9999203954538954,-840.5059999724931,0.00018971638410514302,722.0457019771935,777.9590832633022,31702626.02546022,767564.3462335624,76.34691571155275,0.001768590722729288,12058.550950254781,1249.7043712082227,-0.03173709858822191,-14.798226967342769,0.44087856845939605,False
